criterion,max_depth,max_features,min_samples_leaf,min_samples_split,splitter,mean_test_score,std_test_score,rank_test_score
gini,1,sqrt,1,2,best,0.6285714285714286,0.10279539592820429,279
gini,1,sqrt,1,2,random,0.5,0.0,637
gini,1,sqrt,1,5,best,0.6285714285714286,0.10279539592820429,279
gini,1,sqrt,1,5,random,0.5,0.0,637
gini,1,sqrt,1,10,best,0.6285714285714286,0.10279539592820429,279
gini,1,sqrt,1,10,random,0.5,0.0,637
gini,1,sqrt,1,100,best,0.6285714285714286,0.10279539592820429,279
gini,1,sqrt,1,100,random,0.5,0.0,637
gini,1,sqrt,5,2,best,0.6285714285714286,0.10279539592820429,279
gini,1,sqrt,5,2,random,0.5,0.0,637
gini,1,sqrt,5,5,best,0.6285714285714286,0.10279539592820429,279
gini,1,sqrt,5,5,random,0.5,0.0,637
gini,1,sqrt,5,10,best,0.6285714285714286,0.10279539592820429,279
gini,1,sqrt,5,10,random,0.5,0.0,637
gini,1,sqrt,5,100,best,0.6285714285714286,0.10279539592820429,279
gini,1,sqrt,5,100,random,0.5,0.0,637
gini,1,sqrt,10,2,best,0.6285714285714286,0.10279539592820429,279
gini,1,sqrt,10,2,random,0.5,0.0,637
gini,1,sqrt,10,5,best,0.6285714285714286,0.10279539592820429,279
gini,1,sqrt,10,5,random,0.5,0.0,637
gini,1,sqrt,10,10,best,0.6285714285714286,0.10279539592820429,279
gini,1,sqrt,10,10,random,0.5,0.0,637
gini,1,sqrt,10,100,best,0.6285714285714286,0.10279539592820429,279
gini,1,sqrt,10,100,random,0.5,0.0,637
gini,1,sqrt,50,2,best,0.4714285714285714,0.04096345365258394,945
gini,1,sqrt,50,2,random,0.5,0.0,637
gini,1,sqrt,50,5,best,0.4714285714285714,0.04096345365258394,945
gini,1,sqrt,50,5,random,0.5,0.0,637
gini,1,sqrt,50,10,best,0.4714285714285714,0.04096345365258394,945
gini,1,sqrt,50,10,random,0.5,0.0,637
gini,1,sqrt,50,100,best,0.4714285714285714,0.04096345365258394,945
gini,1,sqrt,50,100,random,0.5,0.0,637
gini,1,sqrt,100,2,best,0.5,0.0,637
gini,1,sqrt,100,2,random,0.5,0.0,637
gini,1,sqrt,100,5,best,0.5,0.0,637
gini,1,sqrt,100,5,random,0.5,0.0,637
gini,1,sqrt,100,10,best,0.5,0.0,637
gini,1,sqrt,100,10,random,0.5,0.0,637
gini,1,sqrt,100,100,best,0.5,0.0,637
gini,1,sqrt,100,100,random,0.5,0.0,637
gini,1,log2,1,2,best,0.6285714285714286,0.10279539592820429,279
gini,1,log2,1,2,random,0.5,0.0,637
gini,1,log2,1,5,best,0.6285714285714286,0.10279539592820429,279
gini,1,log2,1,5,random,0.5,0.0,637
gini,1,log2,1,10,best,0.6285714285714286,0.10279539592820429,279
gini,1,log2,1,10,random,0.5,0.0,637
gini,1,log2,1,100,best,0.6285714285714286,0.10279539592820429,279
gini,1,log2,1,100,random,0.5,0.0,637
gini,1,log2,5,2,best,0.6285714285714286,0.10279539592820429,279
gini,1,log2,5,2,random,0.5,0.0,637
gini,1,log2,5,5,best,0.6285714285714286,0.10279539592820429,279
gini,1,log2,5,5,random,0.5,0.0,637
gini,1,log2,5,10,best,0.6285714285714286,0.10279539592820429,279
gini,1,log2,5,10,random,0.5,0.0,637
gini,1,log2,5,100,best,0.6285714285714286,0.10279539592820429,279
gini,1,log2,5,100,random,0.5,0.0,637
gini,1,log2,10,2,best,0.6285714285714286,0.10279539592820429,279
gini,1,log2,10,2,random,0.5,0.0,637
gini,1,log2,10,5,best,0.6285714285714286,0.10279539592820429,279
gini,1,log2,10,5,random,0.5,0.0,637
gini,1,log2,10,10,best,0.6285714285714286,0.10279539592820429,279
gini,1,log2,10,10,random,0.5,0.0,637
gini,1,log2,10,100,best,0.6285714285714286,0.10279539592820429,279
gini,1,log2,10,100,random,0.5,0.0,637
gini,1,log2,50,2,best,0.4714285714285714,0.04096345365258394,945
gini,1,log2,50,2,random,0.5,0.0,637
gini,1,log2,50,5,best,0.4714285714285714,0.04096345365258394,945
gini,1,log2,50,5,random,0.5,0.0,637
gini,1,log2,50,10,best,0.4714285714285714,0.04096345365258394,945
gini,1,log2,50,10,random,0.5,0.0,637
gini,1,log2,50,100,best,0.4714285714285714,0.04096345365258394,945
gini,1,log2,50,100,random,0.5,0.0,637
gini,1,log2,100,2,best,0.5,0.0,637
gini,1,log2,100,2,random,0.5,0.0,637
gini,1,log2,100,5,best,0.5,0.0,637
gini,1,log2,100,5,random,0.5,0.0,637
gini,1,log2,100,10,best,0.5,0.0,637
gini,1,log2,100,10,random,0.5,0.0,637
gini,1,log2,100,100,best,0.5,0.0,637
gini,1,log2,100,100,random,0.5,0.0,637
gini,1,,1,2,best,0.6666666666666666,0.09988655696858585,193
gini,1,,1,2,random,0.5333333333333332,0.03868589716493314,483
