C,class_weight,multi_class,penalty,mean_test_score,std_test_score,rank_test_score
0.001,balanced,auto,l1,,,144
0.001,balanced,auto,l2,0.5428571428571429,0.03499271061118824,52
0.001,balanced,auto,elasticnet,,,173
0.001,balanced,auto,,,,174
0.001,balanced,ovr,l1,,,175
0.001,balanced,ovr,l2,0.5428571428571429,0.03499271061118824,52
0.001,balanced,ovr,elasticnet,,,176
0.001,balanced,ovr,,,,177
0.001,balanced,multinomial,l1,,,178
0.001,balanced,multinomial,l2,0.5428571428571429,0.03809523809523809,52
0.001,balanced,multinomial,elasticnet,,,179
0.001,balanced,multinomial,,,,180
0.001,,auto,l1,,,181
0.001,,auto,l2,0.5428571428571429,0.03499271061118824,52
0.001,,auto,elasticnet,,,182
0.001,,auto,,,,183
0.001,,ovr,l1,,,184
0.001,,ovr,l2,0.5428571428571429,0.03499271061118824,52
0.001,,ovr,elasticnet,,,185
0.001,,ovr,,,,186
0.001,,multinomial,l1,,,187
0.001,,multinomial,l2,0.5428571428571429,0.03809523809523809,52
0.001,,multinomial,elasticnet,,,188
0.001,,multinomial,,,,189
0.001,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,l1,,,190
0.001,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,l2,0.5285714285714286,0.02332847374079216,61
0.001,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,elasticnet,,,191
0.001,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,,,,192
0.001,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,l1,,,193
0.001,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,l2,0.5285714285714286,0.02332847374079216,61
0.001,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,elasticnet,,,194
0.001,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,,,,195
0.001,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,l1,,,172
0.001,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,l2,0.5190476190476191,0.01781741612749498,63
0.001,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,elasticnet,,,196
0.001,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,,,,171
0.01,balanced,auto,l1,,,169
0.01,balanced,auto,l2,0.6,0.060982135594598544,45
0.01,balanced,auto,elasticnet,,,146
0.01,balanced,auto,,,,147
0.01,balanced,ovr,l1,,,148
0.01,balanced,ovr,l2,0.6,0.060982135594598544,45
0.01,balanced,ovr,elasticnet,,,149
0.01,balanced,ovr,,,,150
0.01,balanced,multinomial,l1,,,151
0.01,balanced,multinomial,l2,0.6142857142857142,0.05512303287042963,37
0.01,balanced,multinomial,elasticnet,,,152
0.01,balanced,multinomial,,,,153
0.01,,auto,l1,,,154
0.01,,auto,l2,0.6,0.060982135594598544,45
0.01,,auto,elasticnet,,,155
0.01,,auto,,,,156
0.01,,ovr,l1,,,157
0.01,,ovr,l2,0.6,0.060982135594598544,45
0.01,,ovr,elasticnet,,,158
0.01,,ovr,,,,159
0.01,,multinomial,l1,,,160
0.01,,multinomial,l2,0.6142857142857142,0.05512303287042963,37
0.01,,multinomial,elasticnet,,,161
0.01,,multinomial,,,,162
0.01,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,l1,,,163
0.01,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,l2,0.5333333333333333,0.03229680944345365,59
0.01,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,elasticnet,,,164
0.01,"{0: 0.5, 1: 0.3, 2: 0.2}",auto,,,,165
0.01,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,l1,,,166
0.01,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,l2,0.5333333333333333,0.03229680944345365,59
0.01,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,elasticnet,,,167
0.01,"{0: 0.5, 1: 0.3, 2: 0.2}",ovr,,,,168
0.01,"{0: 0.5, 1: 0.3, 2: 0.2}",multinomial,l1,,,170
