criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,mean_test_score,std_test_score,rank_test_score
gini,1,sqrt,1,2,1,0.5095238095238095,0.03563483225498992,3185
gini,1,sqrt,1,2,5,0.7047619047619047,0.08728715609439694,643
gini,1,sqrt,1,2,10,0.6904761904761905,0.10432810619146018,1246
gini,1,sqrt,1,2,25,0.7142857142857143,0.085183541999992,164
gini,1,sqrt,1,2,50,0.7142857142857143,0.09404008408634044,164
gini,1,sqrt,1,2,75,0.7095238095238094,0.09571310115353227,414
gini,1,sqrt,1,2,100,0.7095238095238094,0.0883201761475781,414
gini,1,sqrt,1,5,1,0.5095238095238095,0.03563483225498992,3185
gini,1,sqrt,1,5,5,0.7047619047619047,0.08728715609439694,643
gini,1,sqrt,1,5,10,0.6904761904761905,0.10432810619146018,1246
gini,1,sqrt,1,5,25,0.7142857142857143,0.085183541999992,164
gini,1,sqrt,1,5,50,0.7142857142857143,0.09404008408634044,164
gini,1,sqrt,1,5,75,0.7095238095238094,0.09571310115353227,414
gini,1,sqrt,1,5,100,0.7095238095238094,0.0883201761475781,414
gini,1,sqrt,1,10,1,0.5095238095238095,0.03563483225498992,3185
gini,1,sqrt,1,10,5,0.7047619047619047,0.08728715609439694,643
gini,1,sqrt,1,10,10,0.6904761904761905,0.10432810619146018,1246
gini,1,sqrt,1,10,25,0.7142857142857143,0.085183541999992,164
gini,1,sqrt,1,10,50,0.7142857142857143,0.09404008408634044,164
gini,1,sqrt,1,10,75,0.7095238095238094,0.09571310115353227,414
gini,1,sqrt,1,10,100,0.7095238095238094,0.0883201761475781,414
gini,1,sqrt,1,100,1,0.5095238095238095,0.03563483225498992,3185
gini,1,sqrt,1,100,5,0.7047619047619047,0.08728715609439694,643
gini,1,sqrt,1,100,10,0.6904761904761905,0.10432810619146018,1246
gini,1,sqrt,1,100,25,0.7142857142857143,0.085183541999992,164
gini,1,sqrt,1,100,50,0.7142857142857143,0.09404008408634044,164
gini,1,sqrt,1,100,75,0.7095238095238094,0.09571310115353227,414
gini,1,sqrt,1,100,100,0.7047619047619047,0.08597842897746565,643
gini,1,sqrt,2,2,1,0.5095238095238095,0.03563483225498992,3185
gini,1,sqrt,2,2,5,0.7047619047619047,0.08728715609439694,643
gini,1,sqrt,2,2,10,0.6904761904761905,0.10432810619146018,1246
gini,1,sqrt,2,2,25,0.7142857142857143,0.085183541999992,164
gini,1,sqrt,2,2,50,0.7142857142857143,0.09404008408634044,164
gini,1,sqrt,2,2,75,0.7095238095238094,0.09571310115353227,414
gini,1,sqrt,2,2,100,0.7095238095238094,0.0883201761475781,414
gini,1,sqrt,2,5,1,0.5095238095238095,0.03563483225498992,3185
gini,1,sqrt,2,5,5,0.7047619047619047,0.08728715609439694,643
gini,1,sqrt,2,5,10,0.6904761904761905,0.10432810619146018,1246
gini,1,sqrt,2,5,25,0.7142857142857143,0.085183541999992,164
gini,1,sqrt,2,5,50,0.7142857142857143,0.09404008408634044,164
gini,1,sqrt,2,5,75,0.7095238095238094,0.09571310115353227,414
gini,1,sqrt,2,5,100,0.7095238095238094,0.0883201761475781,414
gini,1,sqrt,2,10,1,0.5095238095238095,0.03563483225498992,3185
gini,1,sqrt,2,10,5,0.7047619047619047,0.08728715609439694,643
gini,1,sqrt,2,10,10,0.6904761904761905,0.10432810619146018,1246
gini,1,sqrt,2,10,25,0.7142857142857143,0.085183541999992,164
gini,1,sqrt,2,10,50,0.7142857142857143,0.09404008408634044,164
gini,1,sqrt,2,10,75,0.7095238095238094,0.09571310115353227,414
gini,1,sqrt,2,10,100,0.7095238095238094,0.0883201761475781,414
gini,1,sqrt,2,100,1,0.5095238095238095,0.03563483225498992,3185
gini,1,sqrt,2,100,5,0.7047619047619047,0.08728715609439694,643
gini,1,sqrt,2,100,10,0.6904761904761905,0.10432810619146018,1246
gini,1,sqrt,2,100,25,0.7142857142857143,0.085183541999992,164
gini,1,sqrt,2,100,50,0.7142857142857143,0.09404008408634044,164
gini,1,sqrt,2,100,75,0.7095238095238094,0.09571310115353227,414
